Name,Position,Age,Season,Player_nat,Left_team,Left_league,Left_team_nat,Joined_team,Joined_league,Joined_nat,Fee,Loan_or_not,Face_img
Pablo Moreno,Centre-Forward,18,20/21,Spain,Juventus U19,Primavera 1,Italy,Man City U23,Premier League 2,England,€10.00m,False,https://img.a.transfermarkt.technology/portrait/medium/466811-1557304350.png?lm=1
Facundo Colidio,Centre-Forward,17,17/18,Argentina/Italy,CABJ U20,Argentina,Argentina,Inter U19,Primavera 1,Italy,€9.50m,False,https://img.a.transfermarkt.technology/portrait/medium/491705-1625049595.jpg?lm=1
Raúl Moro,Left Winger,16,19/20,Spain,Barcelona U18,Spain,Spain,Lazio U19,Primavera 1,Italy,€6.00m,False,https://img.a.transfermarkt.technology/portrait/medium/624942-1601057304.jpg?lm=1
William Bianda,Centre-Back,18,18/19,France/Cote d'Ivoire,Lens,Ligue 2,France,Roma U19,Primavera 1,Italy,€6.00m,False,https://img.a.transfermarkt.technology/portrait/medium/427197-1616527928.jpg?lm=1
Yannick Cotter,Left Winger,18,19/20,Switzerland,FC Sion U21,Promotion League,Switzerland,Juventus U19,Primavera 1,Italy,€4.91m,False,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Albian Hajdari,Centre-Back,17,20/21,Switzerland,FC Basel U18,Swiss U18 Elite League,Switzerland,Juventus U19,Primavera 1,Italy,€4.38m,False,https://img.a.transfermarkt.technology/portrait/medium/579459-1593594452.jpg?lm=1
Kaly Sène,Right Winger,19,20/21,Senegal,Juventus U19,Primavera 1,Italy,FC Basel,Super League,Switzerland,€4.00m,False,https://img.a.transfermarkt.technology/portrait/medium/625816-1579614473.jpg?lm=1
Marco Pompetti,Defensive Midfield,17,17/18,Italy,Pescara U19,Primavera 2b,Italy,Inter U19,Primavera 1,Italy,€4.00m,False,https://img.a.transfermarkt.technology/portrait/medium/459991-1551887770.jpg?lm=1
Lorenzo Placidi,Goalkeeper,18,17/18,Italy,Chievo U19,Primavera 1,Italy,Cesena U19,Primavera 2a,Italy,€3.50m,False,https://img.a.transfermarkt.technology/portrait/medium/383782-1491384896.jpg?lm=1
Stefano Palmucci,Defensive Midfield,18,19/20,Italy,Pescara U19,Primavera 1,Italy,Parma U19,Primavera 2a,Italy,€3.00m,False,https://img.a.transfermarkt.technology/portrait/medium/542593-1614245431.jpg?lm=1
Mattia Zennaro,Central Midfield,18,18/19,Italy,Venezia U19,Primavera 2a,Italy,Genoa U19,Primavera 1,Italy,€3.00m,False,https://img.a.transfermarkt.technology/portrait/medium/529841-1564407890.jpg?lm=1
Marco D'Aloia,Defensive Midfield,18,19/20,Italy,Parma U19,Primavera 2a,Italy,Pescara U19,Primavera 1,Italy,€2.85m,False,https://img.a.transfermarkt.technology/portrait/medium/534195-1536307707.jpg?lm=1
